iter	MultiClass
0	1.562860672
1	1.523028036
2	1.488625049
3	1.460829989
4	1.436261426
5	1.415160572
6	1.395496802
7	1.379032003
8	1.363797577
9	1.350035277
10	1.338712962
11	1.328056539
12	1.318592927
13	1.30995648
14	1.302705675
15	1.295624745
16	1.289068491
17	1.283191548
18	1.277974555
19	1.273390769
20	1.268960591
21	1.265036261
22	1.261486844
23	1.25844912
24	1.255354664
25	1.252917404
26	1.250472344
27	1.248222515
28	1.246034962
29	1.244213093
30	1.242417043
31	1.240797583
32	1.23927743
33	1.237802469
34	1.236526877
35	1.235284429
36	1.234208489
37	1.233219629
38	1.232262452
39	1.231465174
40	1.23060848
41	1.229870599
42	1.22919564
43	1.228469977
44	1.227727529
45	1.227104883
46	1.226468037
47	1.226002609
48	1.225416157
49	1.22484822
50	1.224400019
51	1.223927342
52	1.22350321
53	1.223178815
54	1.222764175
55	1.222461376
56	1.222147186
57	1.221873374
58	1.22163597
59	1.221300779
60	1.221045102
61	1.220794691
62	1.220552311
63	1.220340271
64	1.220151492
65	1.219927932
66	1.219722008
67	1.219556201
68	1.219402165
69	1.219187068
70	1.219040684
71	1.218877498
72	1.218745353
73	1.218610884
74	1.218395262
75	1.218174305
76	1.217984147
77	1.217781451
78	1.217613785
79	1.217480566
80	1.217361691
81	1.217256362
82	1.217131988
83	1.21702117
84	1.216876088
85	1.216740811
86	1.216588104
87	1.216388735
88	1.216281538
89	1.216125067
90	1.215950355
91	1.215814869
92	1.215744432
93	1.215595191
94	1.215482821
95	1.215374115
96	1.215249718
97	1.21516877
98	1.215059994
99	1.214960551
100	1.214901761
101	1.214833122
102	1.214746131
103	1.214566933
104	1.214324764
105	1.214213978
106	1.214151986
107	1.214098087
108	1.213882696
109	1.213754103
110	1.213579446
111	1.213441366
112	1.213251635
113	1.213158853
114	1.213040387
115	1.212880072
116	1.212747054
117	1.212567301
118	1.212324607
119	1.212089528
120	1.21195667
121	1.21186763
122	1.211535018
123	1.211396418
124	1.211243558
125	1.211103291
126	1.210885935
127	1.210800792
128	1.210694585
129	1.210447165
130	1.210392596
131	1.210262064
132	1.209979306
133	1.209850659
134	1.209711954
135	1.209616682
136	1.209511085
137	1.209273839
138	1.209005147
139	1.208898309
140	1.208640842
141	1.208451003
142	1.208305064
143	1.208188031
144	1.20796414
145	1.207721848
146	1.207561417
147	1.207432334
148	1.20735743
149	1.207221984
150	1.207159295
151	1.206967077
152	1.206854049
153	1.206777641
154	1.206686303
155	1.206625862
156	1.206413084
157	1.206275798
