iter	Passed	Remaining
0	174	174009
1	219	109457
2	233	77659
3	245	61083
4	261	51949
5	277	46005
6	292	41504
7	305	37869
8	318	35104
9	333	32994
10	348	31325
11	362	29855
12	378	28736
13	391	27588
14	405	26653
15	419	25824
16	433	25076
17	448	24460
18	463	23926
19	477	23381
20	491	22927
21	508	22615
22	525	22325
23	541	22029
24	558	21773
25	565	21170
26	581	20943
27	596	20716
28	613	20525
29	629	20366
30	648	20268
31	665	20134
32	681	19977
33	695	19771
34	712	19631
35	728	19507
36	749	19508
37	768	19452
38	791	19497
39	809	19426
40	825	19319
41	844	19252
42	860	19145
43	872	18959
44	885	18783
45	902	18727
46	915	18573
47	930	18453
48	944	18331
49	961	18276
50	974	18139
51	986	17993
52	1001	17899
53	1015	17794
54	1032	17731
55	1046	17643
56	1060	17542
57	1072	17417
58	1085	17316
59	1098	17204
60	1110	17098
61	1122	16982
62	1135	16888
63	1149	16814
64	1162	16719
65	1175	16629
66	1188	16544
67	1199	16435
68	1211	16350
69	1226	16291
70	1240	16233
71	1250	16122
72	1264	16051
73	1277	15988
74	1287	15876
75	1300	15809
76	1315	15764
77	1331	15742
78	1349	15727
79	1365	15708
80	1381	15669
81	1395	15624
82	1409	15570
83	1423	15525
84	1436	15468
85	1451	15421
86	1465	15375
87	1480	15340
88	1494	15302
89	1511	15278
90	1528	15267
91	1543	15237
92	1558	15200
93	1573	15168
94	1588	15130
95	1604	15110
96	1620	15082
97	1635	15055
98	1649	15014
99	1664	14978
100	1678	14939
101	1693	14911
102	1706	14863
103	1721	14835
104	1735	14793
105	1748	14744
106	1762	14706
107	1775	14665
108	1790	14638
109	1805	14609
110	1818	14561
111	1832	14528
112	1847	14500
113	1861	14471
114	1875	14430
115	1889	14398
116	1902	14360
117	1917	14330
118	1932	14305
119	1947	14280
120	1960	14239
121	1973	14201
122	1986	14164
123	1999	14122
124	2013	14094
125	2024	14042
126	2034	13988
127	2046	13939
128	2056	13884
129	2070	13857
130	2084	13827
131	2099	13803
132	2112	13770
133	2124	13731
134	2137	13695
135	2150	13660
136	2161	13618
137	2175	13586
138	2187	13547
139	2200	13518
140	2214	13488
141	2228	13465
142	2240	13427
143	2254	13401
144	2267	13369
145	2281	13346
146	2295	13322
147	2309	13293
148	2322	13262
149	2335	13234
150	2348	13206
151	2362	13180
152	2375	13152
153	2390	13131
154	2403	13105
155	2416	13074
156	2425	13024
157	2439	12997
158	2453	12975
159	2466	12949
160	2478	12916
161	2490	12882
162	2503	12853
163	2516	12829
164	2530	12806
165	2544	12781
166	2557	12755
167	2571	12733
168	2584	12710
169	2597	12683
170	2611	12662
171	2627	12647
172	2641	12627
173	2656	12611
174	2670	12591
175	2685	12574
176	2700	12556
177	2713	12531
178	2727	12509
179	2741	12487
180	2754	12462
181	2768	12441
182	2782	12424
183	2797	12408
184	2812	12390
185	2826	12368
186	2840	12347
187	2855	12333
188	2870	12317
189	2883	12293
190	2897	12272
191	2911	12252
192	2924	12230
193	2938	12207
194	2953	12191
195	2967	12171
196	2981	12152
197	2994	12128
198	3006	12101
199	3020	12080
200	3032	12055
201	3046	12033
202	3059	12012
203	3073	11993
204	3088	11977
205	3102	11957
206	3116	11938
207	3130	11918
208	3143	11897
209	3157	11876
210	3168	11848
211	3182	11827
212	3194	11804
213	3207	11779
214	3219	11755
215	3235	11744
216	3250	11729
217	3260	11696
218	3273	11674
219	3286	11652
220	3297	11624
221	3310	11601
222	3322	11578
223	3337	11560
224	3350	11541
225	3364	11521
226	3378	11506
227	3389	11477
228	3402	11456
229	3416	11437
230	3430	11421
231	3445	11404
232	3458	11385
233	3472	11365
234	3485	11346
235	3500	11331
236	3513	11312
237	3527	11294
238	3541	11278
239	3557	11265
240	3570	11245
241	3584	11227
242	3598	11209
243	3612	11193
244	3626	11174
245	3640	11159
246	3654	11141
247	3668	11125
248	3681	11104
249	3696	11088
250	3711	11075
251	3724	11056
