start,peak,end,flare_class,flux
2019-02-10 00:00:00,2019-02-10 01:20:00,2019-02-10 01:11:00,32,0.22
2019-02-10 00:00:00,2019-02-10 00:14:00,2019-02-10 00:09:00,24,0.0015
2019-02-10 00:00:00,2019-02-10 00:06:00,2019-02-10 00:04:00,77,0.00017
2019-02-10 00:00:00,2019-02-10 00:07:00,2019-02-10 00:04:00,69,0.00018
2019-02-10 00:00:00,2019-02-10 00:36:00,2019-02-10 00:19:00,17,0.003
2019-02-10 00:00:00,2019-02-10 00:10:00,2019-02-10 00:05:00,15,0.00066
2019-02-10 00:00:00,2019-02-10 00:18:00,2019-02-10 00:11:00,C,
2019-02-10 00:00:00,2019-02-10 00:16:00,2019-02-10 00:11:00,63,0.00062
2019-02-10 00:01:00,2019-02-10 00:09:00,2019-02-10 00:06:00,12,4.2e-05
2019-02-10 00:01:00,2019-02-10 00:09:00,2019-02-10 00:05:00,77,0.00026
2019-02-10 00:01:00,2019-02-10 00:36:00,2019-02-10 00:22:00,29,0.00053
2019-02-10 00:01:00,2019-02-10 00:16:00,2019-02-10 00:09:00,C,
2019-02-10 00:01:00,2019-02-10 00:17:00,2019-02-10 00:08:00,10,0.00078
2019-02-10 00:01:00,2019-02-10 00:33:00,2019-02-10 00:24:00,95,0.0013
2019-02-10 00:01:00,2019-02-10 00:16:00,2019-02-10 00:11:00,38,0.0029
2019-02-10 00:01:00,2019-02-10 00:23:00,2019-02-10 00:11:00,22,0.0021
2019-02-10 00:02:00,2019-02-10 00:18:00,2019-02-10 00:11:00,B,
2019-02-10 00:02:00,2019-02-10 00:09:00,2019-02-10 00:07:00,C,
2019-02-10 00:02:00,2019-02-10 00:11:00,2019-02-10 00:08:00,20,6.5e-05
2019-02-10 00:02:00,2019-02-10 00:40:00,2019-02-10 00:24:00,X,
2019-02-10 00:02:00,2019-02-10 00:25:00,2019-02-10 00:12:00,11,0.0012
2019-02-10 00:03:00,2019-02-10 00:09:00,2019-02-10 00:06:00,C,
2019-02-10 00:03:00,2019-02-10 00:27:00,2019-02-10 00:19:00,78,0.0058
2019-02-10 00:03:00,2019-02-10 00:11:00,2019-02-10 00:07:00,36,0.0001
2019-02-10 00:03:00,2019-02-10 00:25:00,2019-02-10 00:07:00,10,0.0011
2019-02-10 00:03:00,2019-02-10 00:12:00,2019-02-10 00:07:00,17,0.00069
2019-02-10 00:03:00,2019-02-10 00:11:00,2019-02-10 00:08:00,C,
2019-02-10 00:03:00,2019-02-10 00:13:00,2019-02-10 00:10:00,31,0.00092
2019-02-10 00:04:00,2019-02-10 00:15:00,2019-02-10 00:09:00,63,0.00031
2019-02-10 00:04:00,2019-02-10 00:14:00,2019-02-10 00:11:00,20,0.00068
2019-02-10 00:04:00,2019-02-10 00:11:00,2019-02-10 00:08:00,66,0.00018
2019-02-10 00:04:00,2019-02-10 00:13:00,2019-02-10 00:08:00,C,
2019-02-10 00:04:00,2019-02-10 00:41:00,2019-02-10 00:21:00,C,
2019-02-10 00:04:00,2019-02-10 00:49:00,2019-02-10 00:28:00,B,
2019-02-10 00:04:00,2019-02-10 00:31:00,2019-02-10 00:14:00,27,0.00036
2019-02-10 00:04:00,2019-02-10 00:10:00,2019-02-10 00:08:00,13,0.00027
2019-02-10 00:05:00,2019-02-10 00:18:00,2019-02-10 00:12:00,10,0.00061
2019-02-10 00:05:00,2019-02-10 00:12:00,2019-02-10 00:09:00,C,
2019-02-10 00:05:00,2019-02-10 00:27:00,2019-02-10 00:18:00,44,0.004
2019-02-10 00:05:00,2019-02-10 00:21:00,2019-02-10 00:18:00,54,0.00042
2019-02-10 00:05:00,2019-02-10 00:13:00,2019-02-10 00:09:00,10,0.00033
2019-02-10 00:05:00,2019-02-10 00:10:00,2019-02-10 00:08:00,35,5.4e-05
2019-02-10 00:05:00,2019-02-10 00:18:00,2019-02-10 00:10:00,10,0.0006
2019-02-10 00:06:00,2019-02-10 00:32:00,2019-02-10 00:19:00,66,0.00078
2019-02-10 00:06:00,2019-02-10 00:47:00,2019-02-10 00:27:00,B,
2019-02-10 00:06:00,2019-02-10 00:18:00,2019-02-10 00:13:00,30,0.0015
2019-02-10 00:06:00,2019-02-10 00:20:00,2019-02-10 00:14:00,C,
2019-02-10 00:06:00,2019-02-10 00:25:00,2019-02-10 00:17:00,97,0.00092
2019-02-10 00:06:00,2019-02-10 00:20:00,2019-02-10 00:14:00,31,0.0017
2019-02-10 00:06:00,2019-02-10 00:27:00,2019-02-10 00:15:00,C,
2019-02-10 00:06:00,2019-02-10 00:26:00,2019-02-10 00:14:00,88,0.00072
2019-02-10 00:06:00,2019-02-10 00:38:00,2019-02-10 00:21:00,28,0.0042
2019-02-10 00:06:00,2019-02-10 00:22:00,2019-02-10 00:12:00,C,
2019-02-10 00:06:00,2019-02-10 00:16:00,2019-02-10 00:10:00,43,0.00019
2019-02-10 00:06:00,2019-02-10 00:20:00,2019-02-10 00:11:00,38,0.00025
2019-02-10 00:06:00,2019-02-10 00:17:00,2019-02-10 00:13:00,M,
2019-02-10 00:07:00,2019-02-10 01:07:00,2019-02-10 01:02:00,23,0.00057
2019-02-10 00:07:00,2019-02-10 00:19:00,2019-02-10 00:14:00,30,0.00021
2019-02-10 00:07:00,2019-02-10 00:12:00,2019-02-10 00:10:00,C,
2019-02-10 00:07:00,2019-02-10 00:14:00,2019-02-10 00:11:00,14,0.00038
2019-02-10 00:07:00,2019-02-10 00:12:00,2019-02-10 00:10:00,43,7e-05
2019-02-10 00:07:00,2019-02-10 00:13:00,2019-02-10 00:10:00,92,0.0002
