iter	MultiClass
0	1.352103192
1	1.321779866
2	1.305407305
3	1.291516998
4	1.282584143
5	1.275676662
6	1.269404783
7	1.265654178
8	1.261995775
9	1.258423504
10	1.25575116
11	1.252647098
12	1.250933214
13	1.248673597
14	1.246667231
15	1.245449125
16	1.243274923
17	1.24096328
18	1.239089237
19	1.237776349
20	1.236196666
21	1.234956565
22	1.232830216
23	1.231915914
24	1.230641747
25	1.22926811
26	1.227984379
27	1.226802374
28	1.225282119
29	1.224195011
30	1.222270201
31	1.220558458
32	1.218831731
33	1.217742843
34	1.215821327
35	1.214770363
36	1.213174166
37	1.211187609
38	1.2094141
39	1.20807075
40	1.206817209
41	1.206036318
42	1.205233784
43	1.203422612
44	1.201871028
45	1.20039603
46	1.198249573
47	1.196768751
48	1.195107325
49	1.193570326
50	1.192040632
51	1.190698822
52	1.189571411
53	1.188241536
54	1.186345751
55	1.185053294
56	1.183323011
57	1.18255082
58	1.181666505
59	1.180215826
60	1.178307184
61	1.177016866
62	1.175833718
63	1.174675286
64	1.173052711
65	1.172494273
66	1.17164288
67	1.170771488
68	1.169251008
69	1.167982407
70	1.16670957
71	1.165879383
72	1.164502449
73	1.163390973
74	1.162328987
75	1.161109185
76	1.160186582
77	1.159467086
78	1.15806705
79	1.157033786
80	1.156188495
81	1.155056519
82	1.154160424
83	1.153568814
84	1.15247497
85	1.151177188
86	1.15052432
87	1.149898084
88	1.148795086
89	1.147947943
90	1.147055778
91	1.145121064
92	1.144358422
93	1.143220905
94	1.14242447
95	1.141644613
96	1.141063393
97	1.139785035
98	1.138599048
99	1.137587331
100	1.136436358
101	1.135370109
102	1.134416448
103	1.133668363
104	1.132751393
105	1.131847119
106	1.130624379
107	1.129680814
108	1.128952936
109	1.12848431
110	1.127668258
111	1.126938302
112	1.126135515
113	1.125379593
114	1.124872071
115	1.124606231
116	1.124026394
117	1.123141714
118	1.122183695
119	1.120871013
120	1.120250136
121	1.119491385
122	1.118682236
123	1.117612544
124	1.116605476
125	1.116093563
126	1.115140777
127	1.114200688
128	1.113137238
129	1.112900183
130	1.112271194
131	1.111522213
132	1.110646623
133	1.109965035
134	1.109216364
135	1.108153325
136	1.107466324
137	1.106755044
138	1.105545008
139	1.105185266
140	1.104643309
141	1.103664604
142	1.102994852
143	1.102382226
144	1.101075844
145	1.100588772
146	1.09983159
147	1.09913278
148	1.098653804
149	1.098264087
150	1.097573404
151	1.096677223
152	1.095876417
153	1.095177477
154	1.094761743
155	1.094262934
156	1.092912578
157	1.092277996
158	1.091840147
159	1.091566669
160	1.09086093
161	1.090414231
162	1.089965461
163	1.089241458
164	1.088465327
165	1.087768187
166	1.087265346
167	1.085900792
168	1.08502025
169	1.084333085
170	1.083944343
171	1.083688588
172	1.08338223
173	1.082859395
174	1.082421012
175	1.08207566
176	1.081225019
177	1.080797665
178	1.079902421
179	1.079228336
180	1.078604485
181	1.077855211
182	1.077394143
183	1.077090455
184	1.076577428
185	1.076153383
186	1.075787967
187	1.075382016
188	1.074799433
189	1.074217288
190	1.073877603
191	1.073315107
192	1.072611678
193	1.072091103
194	1.071462413
195	1.071143016
196	1.070498217
197	1.06974675
198	1.069467237
199	1.068988515
200	1.068335401
201	1.067733301
202	1.067383707
203	1.066817875
204	1.066000983
205	1.065461656
206	1.065004377
207	1.064539252
208	1.064198317
209	1.063497538
210	1.063296994
211	1.062577066
212	1.062110267
213	1.06138148
214	1.061077832
215	1.060643131
216	1.060272356
217	1.059762425
218	1.058903462
219	1.058066631
220	1.057604311
221	1.056927687
222	1.056577223
223	1.056006568
224	1.055565633
225	1.054990315
226	1.054510879
227	1.054243505
228	1.053390259
229	1.05283836
230	1.052092174
231	1.051637431
232	1.051144002
233	1.05064355
234	1.050013097
235	1.049374133
236	1.048535739
237	1.047804016
238	1.047275428
239	1.046587919
240	1.046044173
241	1.045388855
242	1.044679637
243	1.044206579
244	1.043913972
245	1.043586998
246	1.043137208
247	1.042744094
248	1.042392362
249	1.04155094
250	1.040976872
251	1.040148975
252	1.039996547
253	1.039716781
254	1.039446263
255	1.039220345
256	1.038573695
257	1.038229707
258	1.037533091
259	1.036970767
260	1.036676299
261	1.036101195
262	1.035510257
263	1.035251304
264	1.034842741
265	1.034249199
266	1.034000094
267	1.033832568
268	1.033670944
269	1.03311551
270	1.032448264
271	1.032140508
272	1.031699442
273	1.031428596
274	1.031238811
275	1.030720051
276	1.029915764
277	1.029468252
278	1.028917773
279	1.028513159
280	1.027790207
281	1.027383011
282	1.027145679
283	1.026966577
284	1.026492341
285	1.026013913
286	1.025729935
287	1.025245313
288	1.02460464
289	1.024245184
290	1.024062664
291	1.023538671
292	1.023262102
293	1.022969668
294	1.022372535
295	1.021889574
296	1.021581473
297	1.021235745
298	1.020698772
299	1.020353433
