iter	Passed	Remaining
0	8	2580
1	15	2363
2	23	2341
3	30	2273
4	37	2224
5	45	2213
6	51	2168
7	59	2164
8	66	2160
9	74	2158
10	82	2157
11	89	2156
12	97	2151
13	106	2181
14	116	2217
15	126	2254
16	137	2297
17	145	2286
18	153	2276
19	162	2272
20	171	2279
21	179	2272
22	188	2268
23	196	2257
24	204	2245
25	211	2233
26	222	2254
27	232	2255
28	240	2245
29	248	2234
30	257	2230
31	265	2219
32	274	2219
33	281	2202
34	288	2186
35	296	2171
36	302	2153
37	309	2130
38	315	2114
39	323	2100
40	329	2079
41	335	2058
42	341	2039
43	347	2022
44	353	2003
45	359	1986
46	366	1970
47	372	1956
48	378	1939
49	384	1924
50	390	1908
51	397	1894
52	404	1882
53	412	1878
54	419	1870
55	426	1858
56	433	1848
57	441	1840
58	448	1831
59	455	1820
60	462	1811
61	469	1802
62	476	1793
63	484	1785
64	491	1778
65	500	1773
66	507	1763
67	514	1754
68	522	1749
69	529	1740
70	538	1735
71	548	1736
72	556	1731
73	562	1718
74	570	1712
75	578	1704
76	586	1698
77	593	1690
78	602	1684
79	609	1676
80	617	1670
81	624	1661
82	631	1651
83	639	1643
84	645	1632
85	652	1624
86	660	1616
87	667	1607
88	675	1600
89	682	1593
90	691	1587
91	699	1582
92	707	1574
93	714	1565
94	720	1555
95	726	1544
96	733	1534
97	741	1527
98	748	1520
99	757	1514
100	766	1509
101	776	1506
102	785	1503
103	795	1498
104	804	1493
105	812	1487
106	820	1480
107	830	1476
108	839	1470
109	847	1463
110	855	1457
111	863	1449
112	871	1441
113	879	1434
114	885	1425
115	893	1417
116	900	1408
117	907	1400
118	915	1392
119	922	1383
120	929	1375
121	936	1366
122	942	1356
123	950	1348
124	957	1340
125	964	1332
126	971	1323
127	979	1315
128	987	1309
129	994	1300
130	1000	1291
131	1007	1281
132	1014	1273
133	1021	1265
134	1028	1256
135	1034	1247
136	1040	1238
137	1047	1229
138	1054	1221
139	1062	1214
140	1069	1206
141	1076	1197
142	1082	1188
143	1089	1180
144	1095	1171
145	1104	1164
146	1110	1155
147	1116	1147
148	1122	1137
149	1129	1129
150	1137	1122
151	1144	1114
152	1150	1105
153	1157	1097
154	1163	1088
155	1169	1079
156	1176	1071
157	1183	1063
158	1189	1055
159	1196	1046
160	1202	1038
161	1208	1029
162	1215	1021
163	1221	1013
164	1228	1004
165	1234	996
166	1243	990
167	1249	982
168	1256	974
169	1263	966
170	1271	959
171	1279	951
172	1286	944
173	1294	937
174	1302	930
175	1311	923
176	1319	916
177	1326	909
178	1333	901
179	1340	893
180	1345	884
181	1352	877
182	1360	869
183	1367	861
184	1376	855
185	1384	848
186	1391	840
187	1399	833
188	1407	826
189	1415	819
190	1423	812
191	1432	805
192	1441	798
193	1448	791
194	1457	784
195	1465	777
196	1473	770
197	1483	763
198	1491	757
199	1499	749
200	1509	743
201	1521	738
202	1529	730
203	1537	723
204	1545	716
205	1554	709
206	1562	702
207	1570	694
208	1577	686
209	1585	679
210	1595	672
211	1603	665
212	1612	658
213	1620	651
214	1627	643
215	1634	635
216	1641	627
217	1649	620
218	1667	616
219	1677	610
220	1694	605
221	1711	601
222	1726	596
223	1744	591
224	1754	584
225	1762	577
226	1770	569
227	1778	561
228	1786	553
229	1793	545
230	1801	538
231	1808	530
232	1816	522
233	1823	514
234	1830	506
235	1837	498
236	1845	490
237	1852	482
238	1859	474
239	1865	466
240	1871	458
241	1876	449
242	1882	441
243	1889	433
244	1896	425
245	1902	417
246	1909	409
247	1915	401
248	1922	393
249	1929	385
250	1938	378
251	1945	370
252	1952	362
253	1959	354
254	1967	347
255	1975	339
256	1982	331
257	1988	323
258	1995	315
259	2002	308
260	2009	300
261	2015	292
262	2023	284
263	2030	276
264	2037	269
265	2044	261
266	2051	253
267	2060	245
268	2068	238
269	2076	230
270	2084	223
271	2090	215
272	2097	207
273	2103	199
274	2111	191
275	2119	184
276	2126	176
277	2134	168
278	2143	161
279	2149	153
280	2156	145
281	2163	138
282	2169	130
283	2175	122
284	2182	114
285	2188	107
286	2195	99
287	2203	91
288	2211	84
289	2217	76
290	2224	68
291	2231	61
292	2237	53
293	2244	45
294	2251	38
295	2258	30
296	2265	22
297	2272	15
298	2280	7
299	2288	0
